Date,Tair,Precipitation
2013/1/1,1.33,0.2
2013/2/1,5.35,9.4
2013/3/1,6.64,11.4
2013/4/1,8.31,32.2
2013/5/1,10.61,97
2013/6/1,13.92,168.6
2013/7/1,13.17,464.4
2013/8/1,12.3,254.4
2013/9/1,10.68,244.6
2013/10/1,7.65,61.4
2013/11/1,5.13,0
2013/12/1,0.99,11.8
2014/1/1,2.752516129,2.9
2014/2/1,3.237071429,13.6
2014/3/1,5.781354839,20.3
2014/4/1,9.197666667,12.6
2014/5/1,12.12122581,21.5
2014/6/1,14.29266667,330.9
2014/7/1,12.77680645,416.3
2014/8/1,12.34967742,404
2014/9/1,12.13036667,239.2
2014/10/1,8.566516129,37.8
2014/11/1,5.826466667,1.2
2014/12/1,3.270602299,4.1
2015/1/1,2.251290323,31.2
2015/2/1,2.973964286,1.8
2015/3/1,7.467258065,4.3
2015/4/1,7.771833333,61
2015/5/1,12.59016129,6.6
2015/6/1,14.9146,49.8
2015/7/1,12.06719355,100.7
2015/8/1,11.89906452,168.7
2015/9/1,12.63496667,103.4
2015/10/1,8.454354839,130.4
2015/11/1,6.0159,3.7
2015/12/1,1.646645161,3.9
2016/1/1,0.484322581,2.6
2016/2/1,2.539793103,33.4
2016/3/1,5.477548387,16.2
2016/4/1,7.515566667,86.2
2016/5/1,10.86677419,94.9
2016/6/1,13.32896667,277.6
2016/7/1,12.76280645,298.8
2016/8/1,13.26777419,71.4
2016/9/1,11.84066667,55.2
2016/10/1,10.10432258,56.2
2016/11/1,6.573566667,67.1
2016/12/1,3.558322581,6.2
2017/1/1,3.244,0.7
2017/2/1,4.063214286,34.5
2017/3/1,3.885903226,68.7
2017/4/1,7.918066667,58.3
2017/5/1,10.216,99
2017/6/1,13.90396667,116.6
2017/7/1,12.06832258,234.8
2017/8/1,13.27754839,283.9
2017/9/1,13.04443333,105.7
2017/10/1,10.02570968,110.7
2017/11/1,5.482933333,19
2017/12/1,5.274516129,1.3
2018/1/1,1.991225806,3.4
2018/2/1,3.557428571,6.7
2018/3/1,5.452516129,31.5
2018/4/1,8.434933333,35.1
2018/5/1,10.66267742,8.6
2018/6/1,13.1013,219.4
2018/7/1,13.25651613,379.7
2018/8/1,12.77425806,325.4
2018/9/1,12.00163333,172
2018/10/1,8.450548387,34.9
2018/11/1,4.6788,0.8
2018/12/1,3.601516129,15.3
2019/1/1,1.88916129,4.4
2019/2/1,3.683892857,14.2
2019/3/1,4.412193548,24.3
2019/4/1,9.274033333,15
2019/5/1,12.72845161,6.8
2019/6/1,15.20843333,115
2019/7/1,13.23574194,512.5
2019/8/1,13.35535484,370.1
2019/9/1,10.9088,379.3
2019/10/1,9.15,118.66
2019/11/1,7.27,4.25
2019/12/1,1.38,4.68
2020/1/1,1.19,28.22
2020/2/1,2.5,33.34
2020/3/1,6.21,1.94
2020/4/1,7.49,58.39
2020/5/1,10.86,18.5
2020/6/1,14.45,72.07
2020/7/1,13.96,265.1
2020/8/1,13.48,423.86
2020/9/1,16.88,720.14
2020/10/1,14.21,
2020/11/1,8.88,3.02
2020/12/1,8.6,1.37
