"Year","Site","Species","Trait1","Trait2"
"2016","Site1","Bauhinia brachycarpa",47.035,59.6525
"2016","Site1","Bridelia stipularis",48.185,60.8825
"2016","Site1","Callicarpa nudiflora",46.235,61.935
"2016","Site1","Chromolaena odorata",47.5225,60.59
"2016","Site1","Cipadessa cinerascens",47.4875,61.1225
"2016","Site1","Damnacanthus indicus",45.845,64.5
"2016","Site1","Haldina cordifolia",48.315,64.12
"2016","Site1","Jasminum nudiflorum",45.775,62.23
"2016","Site1","Lannea coromandelica",46.08,62.795
"2016","Site1","Olea europaea",45.5525,61.015
"2016","Site1","Polyalthia cerasoides",45.01,62.3275
"2016","Site1","Smilax ferox",46.9425,61.765
"2016","Site1","Strophioblachia fimbricalyx",47.2175,65.0325
"2016","Site1","Tarenna depauperata",48.2675,63.165
"2016","Site1","Terminalia franchetii",48.38,60.745
"2016","Site1","Terminthia paniculata",46.92,63.825
"2016","Site1","Woodfordia fruticosa ",46.045,60.8075
"2016","Site2","Camellia forrestii",46.385,59.1925
"2016","Site2","Castanopsis rufescens",45.87,56.0125
"2016","Site2","Eriobotrya bengalensis",44.18,59.5275
"2016","Site2","Eurya yunnanensis ",45.7725,56.49
"2016","Site2","Hartia sinensis ",42.9633333333333,56.08
"2016","Site2","Ilex corallina",46.17,59.055
"2016","Site2","Lithocarpus hancei ",46.1625,58.97
"2016","Site2","Lithocarpus xylocarpus",45.3675,55.9966666666667
"2016","Site2","Litsea elongata",45.46,59.2166666666667
"2016","Site2","Lyonia ovalifolia",45.755,58.935
"2016","Site2","Machilus bombycina",45.83,57.1766666666667
"2016","Site2","Machilus yunnanensis ",44.7775,60.575
"2016","Site2","Mahonia duclouxiana ",45.0425,60.4875
"2016","Site2","Manglieta ingsinis",43.9675,56.7266666666667
"2016","Site2","Rhododendron leptothrium",45.235,57.61
"2016","Site2","Schima reinw",44.97,55.3425
"2016","Site2","Symplocos poilanei",45.665,60.305
"2016","Site2","Symplocos ramosissima",44.975,59.165
"2016","Site2","Symplocos sumuntia",45.8266666666667,60.42
"2016","Site2","Vaccinium duclouxii",44.5633333333333,56.5733333333333
"2018","Site1","Lannea coromandelica",46.7366666666667,62.7116666666667
"2018","Site1","Polyalthia cerasoides",45.144,62.356
"2018","Site1","Vitex negundo",46.6733333333333,60.8033333333333
"2018","Site1","Woodfordia fruticosa",45.0571428571429,59.5285714285714
"2018","Site2","Castanopsis rufescens",45.59,55.05
"2018","Site2","Lithocarpus hancei",46.0033333333333,57.3166666666667
"2018","Site2","Manglietia insignis",43.9766666666667,55.6133333333333
"2018","Site2","Schima noronhae",45.8866666666667,56.36
"2018","Site3","Duabanga grandiflora",44.5855555566667,58.5444444433333
"2018","Site3","Parashorea chinensis",46.05777778,62.1255555566667
"2018","Site3","Pometia tomentosa",45.09666667,59.2077777766667
"2018","Site3","Semecarpus reticulata",47.2077777766667,61.81111111
"2019","Site1","Bauhinia brachycarpa",47.8644444433333,62.24111111
"2019","Site1","Lannea coromandelica",48.054,62.6804444466667
"2019","Site1","Polyalthia cerasoides",49.8880555566667,64.85111111
"2019","Site1","Woodfordia fruticosa",48.3383333333333,60.0327777766667
"2019","Site2","Castanopsis rufescens",45.8811111133333,55.5877777766667
"2019","Site2","Lithocarpus xylocarpus",45.48642857,57.6825
"2019","Site2","Machilus yunnanensis",45.824,59.7234444433333
"2019","Site2","Schima noronhae",43.96511111,58.6322222233333
"2019","Site3","Duabanga grandiflora",45.8997222233333,60.8880555566667
"2019","Site3","Parashorea chinensis",46.8255555566667,60.2555555566667
"2019","Site3","Pometia tomentosa",48.3966666666667,58.1766666666667
"2019","Site3","Semecarpus reticulata",49.2422222233333,62.1833333333333
"2019","Site4","Pinus yunnanensis",44.0533333366667,59.6955555533333
"2019","Site4","Populus rotundifolia",41.5644444433333,62.2733333333333
"2019","Site4","Quercus pannosa",41.8988888866667,61
"2019","Site4","Rhododendron mucronatum",42.29777778,61.2988888866667
"2019","Site1","Bauhinia brachycarpa",46.81861111,62.6441666666667
"2019","Site1","Lannea coromandelica",48.8044444466667,63.0066666666667
"2019","Site1","Polyalthia cerasoides",47.5877777766667,66.1022222233333
"2019","Site1","Woodfordia fruticosa",48.29888889,63.3988888866667
"2019","Site4","Pinus yunnanensis",45.2166666666667,61.1127777766667
"2019","Site4","Populus rotundifolia",44.125,59.5193333333333
"2019","Site4","Quercus pannosa",44.5566666666667,61.5117777766667
