Reference,Study,Group,Common_nam,SpID,Species,Order,BM,Guild,Type_hunting,Region,Country,Longitude,Latitude,Protected_Area,Access_point,N_hunted,N_control,Abund_hunted,Abund_control,SD_hunted,SD_control,unit,Distance_Km,RR,SamplingVar,Biome,HumanPopDens,TravelTime
"Altrichter et al., 2005",6,Mammals,Chacoan peccary,28,Catagonus wagneri,Cetartiodactyla,35.57,Herb,S,S America,Argentina,-61.981,-25.509,No,Settlement,2,2,0,0.44,0,0.156,n/km2,0.75,-8.263,0.743,Xerophilous forest,0.38,1956
"Altrichter et al., 2005",6,Mammals,Collared peccary,129,Pecari tajacu,Cetartiodactyla,21.27,Herb,S,S America,Argentina,-61.981,-25.509,No,Settlement,2,2,0,0.91,0,0.226,n/km2,0.75,-8.263,0.633,Xerophilous forest,0.38,1956
"Altrichter et al., 2005",6,Mammals,White-lipped peccary,190,Tayassu pecari,Cetartiodactyla,32.23,Frug,S,S America,Argentina,-61.981,-25.509,No,Settlement,2,2,0,1.04,0,1.471,n/km2,0.75,-8.263,1.319,Xerophilous forest,0.38,1956
"Aquino et al., 2014",143,Mammals,White-lipped peccary,190,Tayassu pecari,Cetartiodactyla,32.23,Frug,SC,S America,Peru,-73.958,-4.155,No,Settlement,20,15,0,23.8,0,4.879,n/km2,18,-8.263,0.053,Tropical forest,4.43,2385
"Barrera-Zambrano et al., 2008",73,Mammals,Red howler monkey,5,Alouatta seniculus,Primates,6.15,Herb,S,S America,Colombia,-70.226,-3.842,Yes,Settlement,24,45,0,2.02,0,4.74,n/km2,1,-8.263,0.138,Tropical forest,4.01,1456
"Barrera-Zambrano et al., 2008",73,Mammals,White-fronted capuchin,30,Cebus albifrons,Primates,2.63,Omn,S,S America,Colombia,-70.226,-3.842,Yes,Settlement,24,45,0,1.1,0,3.19,n/km2,1,-8.263,0.16,Tropical forest,4.01,1456
"Barrera-Zambrano et al., 2008",73,Mammals,Humboldt's Woolly Monkey,90,Lagothrix lagotricha,Primates,6.3,Frug,S,S America,Colombia,-70.226,-3.842,Yes,Settlement,24,45,0,4.3,0,5.33,n/km2,1,-8.263,0.074,Tropical forest,4.01,1456
"Baur, 1998",95,Mammals,White-lipped peccary,190,Tayassu pecari,Cetartiodactyla,32.23,Frug,SC,C America,Guatemala,-90.055,17.461,Yes,Settlement,111,111,0,0.79,0,0.889,n/km,6,-8.263,0.019,Tropical forest,2.39,777
"Baur, 1998",95,Mammals,White-lipped peccary,190,Tayassu pecari,Cetartiodactyla,32.23,Frug,SC,C America,Guatemala,-90.055,17.461,Yes,Settlement,74,111,0,0.79,0,0.889,n/km,10,-8.263,0.024,Tropical forest,2.39,777
"Begazo, 1999",49,Birds,Razor-billed curassow,104,Mitu tuberosum,Galliformes,2.77,Frug,S,S America,Peru,-75.096,-4.815,Yes,Settlement,4,8,0,10,0,3.162,n/100km,4.5,-6.644,0.265,Tropical forest,0.57,1045
"Begazo, 1999",49,Birds,Razor-billed curassow,104,Mitu tuberosum,Galliformes,2.77,Frug,S,S America,Peru,-75.049,-4.858,Yes,Settlement,5,8,0,10,0,3.162,n/100km,9.25,-6.644,0.215,Tropical forest,0.57,1356
"Begazo, 1999",49,Birds,Spix's guan,130,Penelope jacquacu,Galliformes,1.49,Frug,S,S America,Peru,-75.096,-4.815,Yes,Settlement,4,8,0,18,0,4.243,n/100km,4.5,-6.644,0.258,Tropical forest,0.57,1045
"Begazo, 1999",49,Birds,Spix's guan,130,Penelope jacquacu,Galliformes,1.49,Frug,S,S America,Peru,-75.049,-4.858,Yes,Settlement,5,8,0,18,0,4.243,n/100km,9.25,-6.644,0.208,Tropical forest,0.57,1356
"Begazo, 1999",49,Birds,Blu-throated piping guan,139,Pipile cumanensis,Galliformes,1.24,Frug,S,S America,Peru,-75.049,-4.858,Yes,Settlement,5,8,0,10,0,3.162,n/100km,9.25,-6.644,0.215,Tropical forest,0.57,1356
"Begazo, 1999",49,Birds,Pale-winged trumpeter,154,Psophia leucoptera,Gruiformes,1.32,Frug,S,S America,Peru,-75.096,-4.815,Yes,Settlement,4,8,0,34,0,5.831,n/100km,4.5,-6.644,0.254,Tropical forest,0.57,1045
"Begazo, 1999",49,Birds,Pale-winged trumpeter,154,Psophia leucoptera,Gruiformes,1.32,Frug,S,S America,Peru,-75.049,-4.858,Yes,Settlement,5,8,0,34,0,5.831,n/100km,9.25,-6.644,0.204,Tropical forest,0.57,1356
"Begazo, 1999",50,Birds,Razor-billed curassow,104,Mitu tuberosum,Galliformes,2.77,Frug,S,S America,Peru,-73.198,-4.337,Yes,Settlement,4,7,0,3,0,1.732,n/100km,1.5,-6.644,0.308,Tropical forest,5.83,1114
"Begazo, 1999",50,Birds,Speckled chacalaca,119,Ortalis guttata,Galliformes,0.55,Frug,S,S America,Peru,-73.007,-4.473,Yes,Settlement,3,7,0,2,0,1.414,n/100km,22,-6.644,0.417,Tropical forest,5.83,2514
"Begazo, 1999",50,Birds,Blu-throated piping guan,139,Pipile cumanensis,Galliformes,1.24,Frug,S,S America,Peru,-73.198,-4.337,Yes,Settlement,4,7,0,6,0,2.45,n/100km,1.5,-6.644,0.279,Tropical forest,5.83,1114
"Begazo, 1999",50,Birds,Pale-winged trumpeter,154,Psophia leucoptera,Gruiformes,1.32,Frug,S,S America,Peru,-73.198,-4.337,Yes,Settlement,4,7,0,59,0,7.681,n/100km,1.5,-6.644,0.253,Tropical forest,5.83,1114
"Begazo, 1999",52,Birds,Neotropical cormorant,135,Phalacrocorax brasilianus,Suliformes,1.24,Carn,S,S America,Peru,-73.198,-4.337,Yes,Settlement,4,5,0,0.4,0,0.633,n/100km,2.5,-6.644,0.567,Tropical forest,5.83,1114
"Blake et al., 2007",32,Mammals,African Elephant,97,Loxodonta africana,Proboscidea,3940.03,Herb,C,Africa,D.R. Congo,20.651,-1.991,Yes,Road,6,2,0,0.1,0,0.1,n/km2,32.5,-8.263,0.667,Tropical forest,1.91,685
"Blake et al., 2007",32,Mammals,African Elephant,97,Loxodonta africana,Proboscidea,3940.03,Herb,C,Africa,D.R. Congo,20.651,-1.991,Yes,Road,2,2,0,0.1,0,0.1,n/km2,37.5,-8.263,1,Tropical forest,1.91,685
"Blake et al., 2013",136,Birds,Salvin's Curassow,230,Mitu salvini,Galliformes,3.1,Frug,SC,S America,Ecuador,-76.46,-0.632,Yes,Road,1,1,0,3.6,0,1.897,photos/100 trapdays,#REF!,-6.644,1.342,Tropical forest,4.88,1656.8
"Blake et al., 2013",136,Birds,Plumbeous Pigeon,301,Patagioenas plumbea,Columbiformes,0.18,Frug,SC,S America,Ecuador,-76.46,-0.632,Yes,Road,1,1,0,7.2,0,2.683,photos/100 trapdays,#REF!,-6.644,1.171,Tropical forest,4.88,1656.8
"Blake et al., 2013",136,Birds,Trinidad Piping-guan,260,Pipile pipile,Galliformes,1.82,Frug,SC,S America,Ecuador,-76.46,-0.632,Yes,Road,1,1,0,15.5,0,3.937,photos/100 trapdays,#REF!,-6.644,1.077,Tropical forest,4.88,1656.8
"Blake et al., 2013",136,Mammals,Red howler monkey,5,Alouatta seniculus,Primates,6.15,Herb,SC,S America,Ecuador,-76.46,-0.632,Yes,Road,1,1,0,2.2,0,1.483,photos/100 trapdays,#REF!,-8.263,1.54,Tropical forest,4.88,1656.8
"Blake et al., 2013",136,Mammals,White-bellied Spider Monkey,228,Ateles belzebuth,Primates,5,Frug,SC,S America,Ecuador,-76.46,-0.632,Yes,Road,1,1,0,21.2,0,4.604,photos/100 trapdays,#REF!,-8.263,1.055,Tropical forest,4.88,1656.8
"Blake et al., 2013",136,Mammals,Nine-banded Armadillo,75,Dasypus novemcinctus,Cingulata,4.2,Inver,SC,S America,Ecuador,-76.46,-0.632,Yes,Road,1,1,0,0.4,0,0.632,photos/100 trapdays,#REF!,-8.263,2.583,Tropical forest,4.88,1656.8
"Blake et al., 2013",136,Mammals,Giant anteater,109,Myrmecophaga tridactyla,Pilosa,22.33,Inver,SC,S America,Ecuador,-76.46,-0.632,Yes,Road,1,1,0,0.7,0,0.837,photos/100 trapdays,#REF!,-8.263,2.241,Tropical forest,4.88,1656.8
"Blake et al., 2013",136,Mammals,Crab-eating Raccoon,302,Procyon cancrivorus,Carnivores,6.95,Omn,SC,S America,Ecuador,-76.46,-0.632,Yes,Road,1,1,0,1.1,0,1.049,photos/100 trapdays,#REF!,-8.263,1.937,Tropical forest,4.88,1656.8
