id,reference,species,guild,biome,distance,control_mean,control_sd,control_n,treatment_mean,treatment_sd,treatment_n
1,"Baur, 1998",Crax rubra,Frug,Tropical forest,6,0.37,0.608,111,0.08,0.283,111
2,"Baur, 1998",Crax rubra,Frug,Tropical forest,10,0.37,0.608,111,0.04,0.2,74
3,"Baur, 1998",Crax rubra,Frug,Tropical forest,14,0.37,0.608,111,0.15,0.387,74
4,"Baur, 1998",Meleagris ocellata,Omn,Tropical forest,6,0.1,0.316,111,0.01,0.1,111
5,"Baur, 1998",Meleagris ocellata,Omn,Tropical forest,10,0.1,0.316,111,0.04,0.2,74
6,"Baur, 1998",Meleagris ocellata,Omn,Tropical forest,14,0.1,0.316,111,0.08,0.283,74
7,"Baur, 1998",Ortalis vetula,Frug,Tropical forest,6,0.01,0.1,111,0.025,0.158,111
8,"Baur, 1998",Ortalis vetula,Frug,Tropical forest,10,0.01,0.1,111,0.025,0.158,74
9,"Baur, 1998",Ortalis vetula,Frug,Tropical forest,14,0.01,0.1,111,0.02,0.141,74
10,"Baur, 1998",Penelope purpurascens,Frug,Tropical forest,6,0.35,0.592,111,0.125,0.354,111
11,"Baur, 1998",Penelope purpurascens,Frug,Tropical forest,10,0.35,0.592,111,0.16,0.4,74
12,"Baur, 1998",Penelope purpurascens,Frug,Tropical forest,14,0.35,0.592,111,0.375,0.612,74
13,"Baur, 1998",Tinamus major,Frug,Tropical forest,6,0.02,0.141,111,0.05,0.224,111
14,"Baur, 1998",Tinamus major,Frug,Tropical forest,10,0.02,0.141,111,0.02,0.141,74
15,"Baur, 1998",Tinamus major,Frug,Tropical forest,14,0.02,0.141,111,0.4,0.632,74
16,Begazo and Bodmer 1998,Mitu tuberosum,Frug,Tropical forest,2.5,1.65,0.402,90,0.02,0.141,76
17,Begazo and Bodmer 1998,Ortalis guttata,Frug,Tropical forest,2.5,3.28,1.935,90,5.95,2.661,76
18,Begazo and Bodmer 1998,Penelope jacquacu,Frug,Tropical forest,2.5,5.46,1.404,90,0.22,0.156,76
19,Begazo and Bodmer 1998,Pipile cumanensis,Frug,Tropical forest,2.5,6.79,2.247,90,0.44,0.18,76
20,Begazo and Bodmer 1998,Mitu tuberosum,Frug,Tropical forest,12.5,1.65,0.402,90,2.08,1.04,18
21,Begazo and Bodmer 1998,Ortalis guttata,Frug,Tropical forest,12.5,3.28,1.935,90,3.6,1.944,18
22,Begazo and Bodmer 1998,Penelope jacquacu,Frug,Tropical forest,12.5,5.46,1.404,90,5.46,1.404,18
23,Begazo and Bodmer 1998,Pipile cumanensis,Frug,Tropical forest,12.5,6.79,2.247,90,9.37,2.705,18
24,"Begazo, 1999",Crypturellus cinereus,Frug,Tropical forest,4.5,3,1.732,8,10,3.162,4
25,"Begazo, 1999",Crypturellus cinereus,Frug,Tropical forest,9.25,3,1.732,8,5,2.236,5
26,"Begazo, 1999",Crypturellus undulatus,Frug,Tropical forest,4.5,8,2.828,8,15,3.873,4
27,"Begazo, 1999",Crypturellus undulatus,Frug,Tropical forest,9.25,8,2.828,8,8,2.828,5
28,"Begazo, 1999",Ortalis guttata,Frug,Tropical forest,4.5,3,1.732,8,26,5.099,4
