"","id","reference","species","group","guild","biome","distance","human_dens","body_mass","yi","vi"
"1",1,"Altrichter et al., 2005","Catagonus wagneri","Mammals","Herb","Xerophilous forest",3.25,0.38,35.57,-0.950976289862045,0.311986187766307
"2",2,"Altrichter et al., 2005","Pecari tajacu","Mammals","Herb","Xerophilous forest",3.25,0.38,21.27,-0.383725121471758,0.0828684069358276
"3",3,"Altrichter et al., 2005","Tayassu pecari","Mammals","Frug","Xerophilous forest",3.25,0.38,32.23,-1.14788333767489,2.88092074634524
"4",4,"Aquino et al., 2014","Mazama americana","Mammals","Herb","Tropical forest",18,4.43,22.8,-1.70660166088775,0.126727135485195
"5",5,"Aquino et al., 2014","Mazama americana","Mammals","Herb","Tropical forest",18,4.43,22.8,0,0.0493726383173297
"6",6,"Aquino et al., 2014","Mazama gouazoubira","Mammals","Omn","Tropical forest",18,4.43,16.63,-1.64580555660497,0.233061200274348
"7",7,"Aquino et al., 2014","Mazama gouazoubira","Mammals","Omn","Tropical forest",18,4.43,16.63,0,0.0952033333333334
"8",8,"Aquino et al., 2014","Pecari tajacu","Mammals","Herb","Tropical forest",18,4.43,21.27,-0.858939435402689,0.0128282113350964
"9",9,"Aquino et al., 2014","Pecari tajacu","Mammals","Herb","Tropical forest",18,4.43,21.27,0,0.00926056134259259
"10",10,"Aquino et al., 2014","Tapirus terrestris","Mammals","Herb","Tropical forest",18,4.43,207.5,-2.93119375241642,0.670158275462963
"11",11,"Aquino et al., 2014","Tapirus terrestris","Mammals","Herb","Tropical forest",18,4.43,207.5,0,0.0889259259259259
"12",12,"Aquino et al., 2014","Tayassu pecari","Mammals","Frug","Tropical forest",18,4.43,32.23,0,0.00560333333333333
"13",13,"Atickem et al., 2011","Tragelaphus buxtoni","Mammals","Herb","Grasslands",4.9,36.77,215,-0.0387915369698732,0.264635589271256
"14",14,"Atickem et al., 2011","Tragelaphus buxtoni","Mammals","Herb","Grasslands",4.5,95.08,215,-0.27829537138929,0.198426243548051
"15",15,"Atickem et al., 2011","Tragelaphus buxtoni","Mammals","Herb","Grasslands",14.4,45.83,215,-1.84582669049833,0.211943181040118
"16",16,"Atickem et al., 2011","Tragelaphus buxtoni","Mammals","Herb","Grasslands",13.5,45.83,215,-0.164068116484604,0.231682194033785
"17",17,"Atickem et al., 2011","Tragelaphus buxtoni","Mammals","Herb","Grasslands",10.5,50.7,215,-0.449169542342894,0.249400505753821
"18",18,"Atickem et al., 2011","Tragelaphus buxtoni","Mammals","Herb","Grasslands",12.2,50.7,215,-1.6565846908598,0.215694161071106
"19",19,"Atickem et al., 2011","Tragelaphus buxtoni","Mammals","Herb","Grasslands",9.6,64.98,215,-0.557972402191693,0.28000527323156
"20",20,"Atickem et al., 2011","Tragelaphus buxtoni","Mammals","Herb","Grasslands",12.1,91.19,215,0.477377689698451,0.14256486789711
"21",21,"Barnes et al., 1991","Loxodonta africana","Mammals","Herb","Tropical forest",2.5,0.87,3940.03,-2.16905370036952,0.0425517695578231
"22",22,"Barnes et al., 1991","Loxodonta africana","Mammals","Herb","Tropical forest",7.5,0.87,3940.03,-0.510825623765991,0.0490316330309902
"23",23,"Barnes et al., 1991","Loxodonta africana","Mammals","Herb","Tropical forest",12.5,0.87,3940.03,-0.089612158689687,0.0185728348247502
"24",24,"Barnes et al., 1991","Loxodonta africana","Mammals","Herb","Tropical forest",12,0.87,3940.03,-1.35146885005288,0.121320425395045
"25",25,"Barnes et al., 1991","Loxodonta africana","Mammals","Herb","Tropical forest",13.75,0.87,3940.03,-1.52260843356501,0.126508346566373
"26",26,"Barrera-Zambrano et al., 2008","Callicebus torquatus","Mammals","Omn","Tropical forest",1,4.01,1.05,-0.0706175672139533,0.0969381594277297
"27",27,"Barrera-Zambrano et al., 2008","Pithecia monachus","Mammals","Omn","Tropical forest",1,4.01,1.54,1.77913531599966,0.40328952611548
"28",28,"Barrera-Zambrano et al., 2008","Saguinus spp","Mammals","Omn","Tropical forest",1,4.01,0.47,0.458486751601516,0.0190001155320701
"29",29,"Barrera-Zambrano et al., 2008","Saimiri sciureus","Mammals","Omn","Tropical forest",1,4.01,0.74,1.11330370482907,0.0295091407560377
"30",30,"Baur, 1998","Crax rubra","Birds","Frug","Tropical forest",6,2.39,4.13,-1.53147637096439,0.137064455914095
"31",31,"Baur, 1998","Crax rubra","Birds","Frug","Tropical forest",10,2.39,4.13,-2.22462355152433,0.362164399607789
"32",32,"Baur, 1998","Crax rubra","Birds","Frug","Tropical forest",14,2.39,4.13,-0.902867711542015,0.114277913121302
"33",33,"Baur, 1998","Meleagris ocellata","Birds","Omn","Tropical forest",6,2.39,5.53,-2.30258509299405,0.990861261261261
"34",34,"Baur, 1998","Meleagris ocellata","Birds","Omn","Tropical forest",10,2.39,5.53,-0.916290731874155,0.427798198198198
"35",35,"Baur, 1998","Meleagris ocellata","Birds","Omn","Tropical forest",14,2.39,5.53,-0.22314355131421,0.259067201576576
"36",36,"Baur, 1998","Ortalis vetula","Birds","Frug","Tropical forest",6,2.39,0.56,0.916290731874155,1.26074234234234
"37",37,"Baur, 1998","Ortalis vetula","Birds","Frug","Tropical forest",10,2.39,0.56,0.916290731874155,1.44066306306306
"38",38,"Baur, 1998","Ortalis vetula","Birds","Frug","Tropical forest",14,2.39,0.56,0.693147180559945,1.57255630630631
"39",39,"Baur, 1998","Penelope purpurascens","Birds","Frug","Tropical forest",6,2.39,2.06,-1.02961941718116,0.0980284199301342
"40",40,"Baur, 1998","Penelope purpurascens","Birds","Frug","Tropical forest",10,2.39,2.06,-0.782759339249632,0.110233609119323
"41",41,"Baur, 1998","Penelope purpurascens","Birds","Frug","Tropical forest",14,2.39,2.06,0.0689928714869514,0.0617663658760802
"42",42,"Baur, 1998","Tinamus major","Birds","Frug","Tropical forest",6,2.39,1.03,0.916290731874155,0.628584684684685
"43",43,"Baur, 1998","Tinamus major","Birds","Frug","Tropical forest",10,2.39,1.03,0,1.11942567567568
"44",44,"Baur, 1998","Tinamus major","Birds","Frug","Tropical forest",14,2.39,1.03,2.99573227355399,0.481505405405405
"45",45,"Baur, 1998","Mazama americana and M. pandora","Mammals","Herb","Tropical forest",6,2.39,16.5,-1.09861228866811,1.20049049049049
"46",46,"Baur, 1998","Mazama americana and M. pandora","Mammals","Herb","Tropical forest",10,2.39,16.5,0.287682072451781,0.637427427427427
"47",47,"Baur, 1998","Mazama americana and M. pandora","Mammals","Herb","Tropical forest",14,2.39,16.5,1.20397280432594,0.43453013013013
"48",48,"Baur, 1998","Nasua narica","Mammals","Frug","Tropical forest",6,2.39,4.03,1.94591014905531,1.03001470858614
"49",49,"Baur, 1998","Nasua narica","Mammals","Frug","Tropical forest",10,2.39,4.03,3.52636052461616,0.940633553103276
"50",50,"Baur, 1998","Nasua narica","Mammals","Frug","Tropical forest",14,2.39,4.03,1.09861228866811,1.35028528528529
"51",51,"Baur, 1998","Odocoileus virginianus","Mammals","Herb","Tropical forest",6,2.39,55.51,-1.09861228866811,1.20049049049049
"52",52,"Baur, 1998","Odocoileus virginianus","Mammals","Herb","Tropical forest",10,2.39,55.51,-1.09861228866811,1.65094094094094
"53",53,"Baur, 1998","Odocoileus virginianus","Mammals","Herb","Tropical forest",14,2.39,55.51,-0.405465108108164,0.971244994994995
"54",54,"Baur, 1998","Panthera onca and Puma concolor","Mammals","Carn","Tropical forest",6,2.39,75.8,-0.693147180559945,0.0750127905683461
"55",55,"Baur, 1998","Panthera onca and Puma concolor","Mammals","Carn","Tropical forest",10,2.39,75.8,-0.721318057526642,0.102123315151887
"56",56,"Baur, 1998","Panthera onca and Puma concolor","Mammals","Carn","Tropical forest",14,2.39,75.8,-0.216223108469636,0.0717070637819746
"57",57,"Baur, 1998","Pecari tajacu","Mammals","Herb","Tropical forest",6,2.39,21.27,-2.07944154167984,0.504076576576576
"58",58,"Baur, 1998","Pecari tajacu","Mammals","Herb","Tropical forest",10,2.39,21.27,-1.16315080980568,0.327527927927928
"59",59,"Baur, 1998","Pecari tajacu","Mammals","Herb","Tropical forest",14,2.39,21.27,-0.693147180559945,0.225413147522522
"60",60,"Baur, 1998","Tapirus bairdii","Mammals","Herb","Tropical forest",6,2.39,300,0.693147180559945,0.386286082000368
"61",61,"Baur, 1998","Tapirus bairdii","Mammals","Herb","Tropical forest",10,2.39,300,0.826678573184468,0.426279115531348
"62",62,"Baur, 1998","Tapirus bairdii","Mammals","Herb","Tropical forest",14,2.39,300,1.04982212449868,0.392112814855672
"63",63,"Baur, 1998","Tayassu pecari","Mammals","Frug","Tropical forest",14,2.39,32.23,-0.0256424306133377,0.0289386080888962
"64",64,"Begazo and Bodmer 1998","Mitu tuberosum","Birds","Frug","Tropical forest",2.5,0.57,2.77,-4.41279829334063,0.654639804021072
"65",65,"Begazo and Bodmer 1998","Ortalis guttata","Birds","Frug","Tropical forest",2.5,0.57,0.55,0.595547797161486,0.00649871377972024
"66",66,"Begazo and Bodmer 1998","Penelope jacquacu","Birds","Frug","Tropical forest",2.5,0.57,1.49,-3.21157652238659,0.00735061384275328
"67",67,"Begazo and Bodmer 1998","Pipile cumanensis","Birds","Frug","Tropical forest",2.5,0.57,1.24,-2.73643149364043,0.00341885805613729
"68",68,"Begazo and Bodmer 1998","Mitu tuberosum","Birds","Frug","Tropical forest",12.5,0.75,2.77,0.231592605800737,0.0145484297520661
