id,reference,species,group,guild,biome,distance,human_dens,body_mass,treatment_n,control_n,treatment_mean,control_mean,treatment_sd,control_sd,rr,var
1,"Altrichter et al., 2005",Catagonus wagneri,Mammals,Herb,Xerophilous forest,3.25,0.38,35.57,2,2,0.17,0.44,0.12,0.156,-0.95,0.312
2,"Altrichter et al., 2005",Pecari tajacu,Mammals,Herb,Xerophilous forest,3.25,0.38,21.27,2,2,0.62,0.91,0.2,0.226,-0.383,0.083
3,"Altrichter et al., 2005",Tayassu pecari,Mammals,Frug,Xerophilous forest,3.25,0.38,32.23,2,2,0.33,1.04,0.64,1.471,-1.147,2.881
4,"Aquino et al., 2014",Mazama americana,Mammals,Herb,Tropical forest,18,4.43,22.8,20,15,0.49,2.7,0.7,1.643,-1.705,0.127
5,"Aquino et al., 2014",Mazama americana,Mammals,Herb,Tropical forest,18,4.43,22.8,15,15,2.7,2.7,1.643,1.643,0,0.049
6,"Aquino et al., 2014",Mazama gouazoubira,Mammals,Omn,Tropical forest,18,4.43,16.63,20,15,0.27,1.4,0.52,1.183,-1.644,0.233
7,"Aquino et al., 2014",Mazama gouazoubira,Mammals,Omn,Tropical forest,18,4.43,16.63,15,15,1.4,1.4,1.183,1.183,0,0.095
8,"Aquino et al., 2014",Pecari tajacu,Mammals,Herb,Tropical forest,18,4.43,21.27,20,15,6.1,14.4,2.47,3.795,-0.858,0.013
9,"Aquino et al., 2014",Pecari tajacu,Mammals,Herb,Tropical forest,18,4.43,21.27,15,15,14.4,14.4,3.795,3.795,0,0.009
10,"Aquino et al., 2014",Tapirus terrestris,Mammals,Herb,Tropical forest,18,4.43,207.5,20,15,0.08,1.5,0.283,1.225,-2.926,0.669
11,"Aquino et al., 2014",Tapirus terrestris,Mammals,Herb,Tropical forest,18,4.43,207.5,15,15,1.5,1.5,1.225,1.225,0,0.089
12,"Aquino et al., 2014",Tayassu pecari,Mammals,Frug,Tropical forest,18,4.43,32.23,15,15,23.8,23.8,4.879,4.879,0,0.006
13,"Atickem et al., 2011",Tragelaphus buxtoni,Mammals,Herb,Grasslands,4.9,36.77,215,144,285,986,1025,4248.98,6373.795,-0.039,0.265
14,"Atickem et al., 2011",Tragelaphus buxtoni,Mammals,Herb,Grasslands,4.5,95.08,215,130,285,776,1025,2216.361,6373.795,-0.278,0.198
15,"Atickem et al., 2011",Tragelaphus buxtoni,Mammals,Herb,Grasslands,14.4,45.83,215,110,291,24,152,66.888,974.784,-1.844,0.212
16,"Atickem et al., 2011",Tragelaphus buxtoni,Mammals,Herb,Grasslands,13.5,45.83,215,109,291,129,152,404.828,974.784,-0.164,0.232
17,"Atickem et al., 2011",Tragelaphus buxtoni,Mammals,Herb,Grasslands,10.5,50.7,215,115,291,97,152,341.958,974.784,-0.449,0.249
18,"Atickem et al., 2011",Tragelaphus buxtoni,Mammals,Herb,Grasslands,12.2,50.7,215,120,291,29,152,86.63,974.784,-1.655,0.216
19,"Atickem et al., 2011",Tragelaphus buxtoni,Mammals,Herb,Grasslands,9.6,64.98,215,113,291,87,152,344.395,974.784,-0.558,0.28
20,"Atickem et al., 2011",Tragelaphus buxtoni,Mammals,Herb,Grasslands,12.1,91.19,215,98,291,245,152,85.204,974.784,0.478,0.143
21,"Barnes et al., 1991",Loxodonta africana,Mammals,Herb,Tropical forest,2.5,0.87,3940.03,6,6,0.8,7,0.374,1.342,-2.167,0.043
22,"Barnes et al., 1991",Loxodonta africana,Mammals,Herb,Tropical forest,7.5,0.87,3940.03,6,6,4.2,7,2.131,1.342,-0.51,0.049
23,"Barnes et al., 1991",Loxodonta africana,Mammals,Herb,Tropical forest,12.5,0.87,3940.03,6,6,6.4,7,1.749,1.342,-0.089,0.019
24,"Barnes et al., 1991",Loxodonta africana,Mammals,Herb,Tropical forest,12,0.87,3940.03,8,5,245.982,950.252,187.583,468.561,-1.35,0.121
25,"Barnes et al., 1991",Loxodonta africana,Mammals,Herb,Tropical forest,13.75,0.87,3940.03,7,5,207.29,950.252,153.053,468.561,-1.521,0.127
26,"Barrera-Zambrano et al., 2008",Callicebus torquatus,Mammals,Omn,Tropical forest,1,4.01,1.05,24,45,2.87,3.08,2.19,5.57,-0.07,0.097
27,"Barrera-Zambrano et al., 2008",Pithecia monachus,Mammals,Omn,Tropical forest,1,4.01,1.54,24,45,5.51,0.93,6.35,3.68,1.779,0.403
28,"Barrera-Zambrano et al., 2008",Saguinus spp,Mammals,Omn,Tropical forest,1,4.01,0.47,24,45,35.05,22.16,8.39,19.16,0.459,0.019
29,"Barrera-Zambrano et al., 2008",Saimiri sciureus,Mammals,Omn,Tropical forest,1,4.01,0.74,24,45,30.17,9.91,6.9,10.99,1.113,0.03
30,"Baur, 1998",Crax rubra,Birds,Frug,Tropical forest,6,2.39,4.13,111,111,0.08,0.37,0.283,0.608,-1.525,0.137
31,"Baur, 1998",Crax rubra,Birds,Frug,Tropical forest,10,2.39,4.13,74,111,0.04,0.37,0.2,0.608,-2.213,0.362
32,"Baur, 1998",Crax rubra,Birds,Frug,Tropical forest,14,2.39,4.13,74,111,0.15,0.37,0.387,0.608,-0.9,0.114
33,"Baur, 1998",Meleagris ocellata,Birds,Omn,Tropical forest,6,2.39,5.53,111,111,0.01,0.1,0.1,0.316,-2.29,0.991
34,"Baur, 1998",Meleagris ocellata,Birds,Omn,Tropical forest,10,2.39,5.53,74,111,0.04,0.1,0.2,0.316,-0.913,0.428
35,"Baur, 1998",Meleagris ocellata,Birds,Omn,Tropical forest,14,2.39,5.53,74,111,0.08,0.1,0.283,0.316,-0.222,0.259
36,"Baur, 1998",Ortalis vetula,Birds,Frug,Tropical forest,6,2.39,0.56,111,111,0.025,0.01,0.158,0.1,0.917,1.261
37,"Baur, 1998",Ortalis vetula,Birds,Frug,Tropical forest,10,2.39,0.56,74,111,0.025,0.01,0.158,0.1,0.917,1.441
38,"Baur, 1998",Ortalis vetula,Birds,Frug,Tropical forest,14,2.39,0.56,74,111,0.02,0.01,0.141,0.1,0.694,1.577
39,"Baur, 1998",Penelope purpurascens,Birds,Frug,Tropical forest,6,2.39,2.06,111,111,0.125,0.35,0.354,0.592,-1.026,0.098
40,"Baur, 1998",Penelope purpurascens,Birds,Frug,Tropical forest,10,2.39,2.06,74,111,0.16,0.35,0.4,0.592,-0.78,0.11
41,"Baur, 1998",Penelope purpurascens,Birds,Frug,Tropical forest,14,2.39,2.06,74,111,0.375,0.35,0.612,0.592,0.07,0.062
42,"Baur, 1998",Tinamus major,Birds,Frug,Tropical forest,6,2.39,1.03,111,111,0.05,0.02,0.224,0.141,0.917,0.631
43,"Baur, 1998",Tinamus major,Birds,Frug,Tropical forest,10,2.39,1.03,74,111,0.02,0.02,0.141,0.141,0.001,1.126
44,"Baur, 1998",Tinamus major,Birds,Frug,Tropical forest,14,2.39,1.03,74,111,0.4,0.02,0.632,0.141,2.996,0.484
45,"Baur, 1998",Mazama americana and M. pandora,Mammals,Herb,Tropical forest,6,2.39,16.5,111,111,0.01,0.03,0.1,0.173,-1.098,1.201
46,"Baur, 1998",Mazama americana and M. pandora,Mammals,Herb,Tropical forest,10,2.39,16.5,74,111,0.04,0.03,0.2,0.173,0.288,0.638
47,"Baur, 1998",Mazama americana and M. pandora,Mammals,Herb,Tropical forest,14,2.39,16.5,74,111,0.1,0.03,0.316,0.173,1.204,0.435
48,"Baur, 1998",Nasua narica,Mammals,Frug,Tropical forest,6,2.39,4.03,111,111,0.07,0.01,0.265,0.1,1.946,1.03
49,"Baur, 1998",Nasua narica,Mammals,Frug,Tropical forest,10,2.39,4.03,74,111,0.34,0.01,0.583,0.1,3.526,0.941
50,"Baur, 1998",Nasua narica,Mammals,Frug,Tropical forest,14,2.39,4.03,74,111,0.03,0.01,0.173,0.1,1.099,1.351
51,"Baur, 1998",Odocoileus virginianus,Mammals,Herb,Tropical forest,6,2.39,55.51,111,111,0.01,0.03,0.1,0.173,-1.098,1.201
52,"Baur, 1998",Odocoileus virginianus,Mammals,Herb,Tropical forest,10,2.39,55.51,74,111,0.01,0.03,0.1,0.173,-1.098,1.652
53,"Baur, 1998",Odocoileus virginianus,Mammals,Herb,Tropical forest,14,2.39,55.51,74,111,0.02,0.03,0.141,0.173,-0.405,0.976
54,"Baur, 1998",Panthera onca and Puma concolor,Mammals,Carn,Tropical forest,6,2.39,75.8,111,111,0.18,0.36,0.424,0.6,-0.693,0.075
55,"Baur, 1998",Panthera onca and Puma concolor,Mammals,Carn,Tropical forest,10,2.39,75.8,74,111,0.175,0.36,0.418,0.6,-0.721,0.102
56,"Baur, 1998",Panthera onca and Puma concolor,Mammals,Carn,Tropical forest,14,2.39,75.8,74,111,0.29,0.36,0.539,0.6,-0.216,0.072
57,"Baur, 1998",Pecari tajacu,Mammals,Herb,Tropical forest,6,2.39,21.27,111,111,0.02,0.16,0.141,0.4,-2.077,0.507
58,"Baur, 1998",Pecari tajacu,Mammals,Herb,Tropical forest,10,2.39,21.27,74,111,0.05,0.16,0.224,0.4,-1.162,0.327
59,"Baur, 1998",Pecari tajacu,Mammals,Herb,Tropical forest,14,2.39,21.27,74,111,0.08,0.16,0.283,0.4,-0.693,0.225
60,"Baur, 1998",Tapirus bairdii,Mammals,Herb,Tropical forest,6,2.39,300,111,111,0.07,0.035,0.265,0.187,0.693,0.386
61,"Baur, 1998",Tapirus bairdii,Mammals,Herb,Tropical forest,10,2.39,300,74,111,0.08,0.035,0.283,0.187,0.827,0.426
62,"Baur, 1998",Tapirus bairdii,Mammals,Herb,Tropical forest,14,2.39,300,74,111,0.1,0.035,0.316,0.187,1.05,0.393
63,"Baur, 1998",Tayassu pecari,Mammals,Frug,Tropical forest,14,2.39,32.23,74,111,0.77,0.79,0.877,0.889,-0.025,0.029
64,Begazo and Bodmer 1998,Mitu tuberosum,Birds,Frug,Tropical forest,2.5,0.57,2.77,76,90,0.02,1.65,0.141,0.402,-4.311,0.659
65,Begazo and Bodmer 1998,Ortalis guttata,Birds,Frug,Tropical forest,2.5,0.57,0.55,76,90,5.95,3.28,2.661,1.935,0.596,0.006
66,Begazo and Bodmer 1998,Penelope jacquacu,Birds,Frug,Tropical forest,2.5,0.57,1.49,76,90,0.22,5.46,0.156,1.404,-3.18,0.007
67,Begazo and Bodmer 1998,Pipile cumanensis,Birds,Frug,Tropical forest,2.5,0.57,1.24,76,90,0.44,6.79,0.18,2.247,-2.717,0.003
68,Begazo and Bodmer 1998,Mitu tuberosum,Birds,Frug,Tropical forest,12.5,0.75,2.77,18,90,2.08,1.65,1.04,0.402,0.233,0.015
69,Begazo and Bodmer 1998,Ortalis guttata,Birds,Frug,Tropical forest,12.5,0.75,0.55,18,90,3.6,3.28,1.944,1.935,0.094,0.02
70,Begazo and Bodmer 1998,Penelope jacquacu,Birds,Frug,Tropical forest,12.5,0.75,1.49,18,90,5.46,5.46,1.404,1.404,0.001,0.004
71,Begazo and Bodmer 1998,Pipile cumanensis,Birds,Frug,Tropical forest,12.5,0.75,1.24,18,90,9.37,6.79,2.705,2.247,0.323,0.006
72,"Begazo, 1999",Crypturellus cinereus,Birds,Frug,Tropical forest,4.5,0.57,0.51,4,8,10,3,3.162,1.732,1.204,0.067
73,"Begazo, 1999",Crypturellus cinereus,Birds,Frug,Tropical forest,9.25,0.57,0.51,5,8,5,3,2.236,1.732,0.512,0.082
74,"Begazo, 1999",Crypturellus undulatus,Birds,Frug,Tropical forest,4.5,0.57,0.56,4,8,15,8,3.873,2.828,0.629,0.032
75,"Begazo, 1999",Crypturellus undulatus,Birds,Frug,Tropical forest,9.25,0.57,0.56,5,8,8,8,2.828,2.828,0.001,0.041
76,"Begazo, 1999",Ortalis guttata,Birds,Frug,Tropical forest,4.5,0.57,0.55,4,8,26,3,5.099,1.732,2.16,0.051
77,"Begazo, 1999",Ortalis guttata,Birds,Frug,Tropical forest,9.25,0.57,0.55,5,8,5,3,2.236,1.732,0.512,0.082
78,"Begazo, 1999",Pipile cumanensis,Birds,Frug,Tropical forest,4.5,0.57,1.24,4,8,5,10,2.236,3.162,-0.691,0.063
79,"Begazo, 1999",Tinamus major,Birds,Frug,Tropical forest,4.5,0.57,1.03,4,8,8,18,2.828,4.243,-0.808,0.038
80,"Begazo, 1999",Tinamus major,Birds,Frug,Tropical forest,9.25,0.57,1.03,5,8,19,18,4.359,4.243,0.055,0.017
81,"Begazo, 1999",Crypturellus cinereus,Birds,Frug,Tropical forest,18,0.75,0.51,7,8,4,3,2,1.732,0.289,0.077
82,"Begazo, 1999",Crypturellus undulatus,Birds,Frug,Tropical forest,18,0.75,0.56,7,8,3,8,1.732,2.828,-0.977,0.063
83,"Begazo, 1999",Mitu tuberosum,Birds,Frug,Tropical forest,18,0.75,2.77,7,8,2,10,1.414,3.162,-1.603,0.084
84,"Begazo, 1999",Ortalis guttata,Birds,Frug,Tropical forest,18,0.75,0.55,7,8,3,3,1.732,1.732,0.001,0.089
85,"Begazo, 1999",Penelope jacquacu,Birds,Frug,Tropical forest,18,0.75,1.49,7,8,7,18,2.646,4.243,-0.941,0.027
86,"Begazo, 1999",Pipile cumanensis,Birds,Frug,Tropical forest,18,0.75,1.24,7,8,11,10,3.317,3.162,0.096,0.025
87,"Begazo, 1999",Psophia leucoptera,Birds,Frug,Tropical forest,18,0.75,1.32,7,8,2,34,1.414,5.831,-2.811,0.075
88,"Begazo, 1999",Tinamus major,Birds,Frug,Tropical forest,18,0.75,1.03,7,8,12,18,3.464,4.243,-0.404,0.019
89,"Begazo, 1999",Crypturellus bartletti,Birds,Frug,Tropical forest,1.5,5.83,0.24,4,7,5,3,2.236,1.732,0.512,0.098
90,"Begazo, 1999",Crypturellus bartletti,Birds,Frug,Tropical forest,10.5,5.83,0.24,14,7,2,3,1.414,1.732,-0.404,0.083
91,"Begazo, 1999",Crypturellus bartletti,Birds,Frug,Tropical forest,22,5.83,0.24,3,7,2,3,1.414,1.732,-0.404,0.214
92,"Begazo, 1999",Crypturellus variegatus,Birds,Frug,Tropical forest,1.5,5.83,0.38,4,7,6,3,2.45,1.732,0.694,0.089
93,"Begazo, 1999",Crypturellus variegatus,Birds,Frug,Tropical forest,10.5,5.83,0.38,14,7,4,3,2,1.732,0.289,0.065
