Site,Year,Species,Tree,Sample,DY,RF,CZ,EZ,WZ,MZ,PR
Limestone,2018,Toona,T1,1,39,1,NA,0.275,0.138,0,5.979
Limestone,2018,Toona,T1,1,39,2,NA,0.202,0.115,0,5.978
Limestone,2018,Toona,T1,1,39,3,NA,0.235,0.119,0,6.016
Limestone,2018,Toona,T1,2,44,1,0.067,0.391,0.407,0,6.608
Limestone,2018,Toona,T1,2,44,2,0.07,0.328,0.358,0,6.586
Limestone,2018,Toona,T1,2,44,3,0.072,0.242,0.395,0,6.636
Limestone,2018,Toona,T1,3,54,1,NA,NA,0.722,0,5.818
Limestone,2018,Toona,T1,3,54,2,NA,NA,0.573,0,5.744
Limestone,2018,Toona,T1,3,54,3,NA,NA,0.61,0,5.686
Limestone,2018,Toona,T1,4,64,1,NA,NA,0.95,0,5.344
Limestone,2018,Toona,T1,4,64,2,NA,NA,0.847,0,5.309
Limestone,2018,Toona,T1,4,64,3,NA,NA,0.913,0,5.309
Limestone,2018,Toona,T1,5,74,1,0.054,0.047,0.986,0,NA
Limestone,2018,Toona,T1,5,74,2,0.053,0.059,0.981,0,NA
Limestone,2018,Toona,T1,5,74,3,0.068,0.119,1.025,0,NA
Limestone,2018,Toona,T1,6,88,1,NA,0.421,0.512,1.3,5.983
Limestone,2018,Toona,T1,6,88,2,NA,0.385,0.487,1.35,5.975
Limestone,2018,Toona,T1,6,88,3,NA,0.42,0.769,1.393,6.011
Limestone,2018,Toona,T1,7,105,1,0.049,0.251,1.302,2.644,2.748
Limestone,2018,Toona,T1,7,105,2,0.056,0.331,1.312,2.652,2.807
Limestone,2018,Toona,T1,7,105,3,0.085,0.321,1.251,2.637,2.708
Limestone,2018,Toona,T1,8,118,1,0.062,0.161,0.254,1.65,1.684
Limestone,2018,Toona,T1,8,118,2,0.053,0.128,0.451,1.665,1.649
Limestone,2018,Toona,T1,8,118,3,0.066,0.163,0.662,1.368,1.755
Limestone,2018,Toona,T1,9,134,1,0.127,0.355,0.255,0.738,4.77
Limestone,2018,Toona,T1,9,134,2,0.126,0.376,0.219,0.702,4.776
Limestone,2018,Toona,T1,9,134,3,0.111,0.281,0.232,0.709,4.689
Limestone,2018,Toona,T1,10,150,1,NA,0.16,1.094,5.424,5.645
Limestone,2018,Toona,T1,10,150,2,NA,0.172,1.221,5.679,5.801
Limestone,2018,Toona,T1,10,150,3,NA,0.196,1.055,5.788,5.659
Limestone,2018,Toona,T1,11,167,1,0.128,0.216,0.386,7.022,5.043
Limestone,2018,Toona,T1,11,167,2,0.13,0.169,0.22,7.049,5.061
Limestone,2018,Toona,T1,11,167,3,0.116,0.175,0.391,6.851,4.982
Limestone,2018,Toona,T1,12,180,1,0.111,0.175,1.463,NA,NA
Limestone,2018,Toona,T1,12,180,2,0.101,0.13,1.649,NA,NA
Limestone,2018,Toona,T1,12,180,3,0.128,0.232,2.111,NA,NA
Limestone,2018,Toona,T1,13,206,1,NA,0.175,0.708,1.374,NA
Limestone,2018,Toona,T1,13,206,2,NA,0.133,0.705,1.167,NA
Limestone,2018,Toona,T1,13,206,3,NA,0.313,0.88,1.277,NA
Limestone,2018,Toona,T1,14,234,1,0.089,0.22,0.36,4.799,NA
Limestone,2018,Toona,T1,14,234,2,0.092,0.174,0.467,4.666,NA
Limestone,2018,Toona,T1,14,234,3,0.08,0.228,0.431,4.641,NA
Limestone,2018,Toona,T1,15,248,1,0.062,0,0.862,5.741,NA
Limestone,2018,Toona,T1,15,248,2,0.066,0,0.952,5.702,NA
Limestone,2018,Toona,T1,15,248,3,0.086,0,0.862,5.783,NA
Limestone,2018,Toona,T1,16,262,1,0.058,0,0.326,7.26,6.61
Limestone,2018,Toona,T1,16,262,2,0.066,0,0.299,7.254,6.637
Limestone,2018,Toona,T1,16,262,3,0.085,0,0.214,7.486,6.646
Limestone,2018,Toona,T1,17,277,1,0.077,0,0,3.057,2.345
Limestone,2018,Toona,T1,17,277,2,0.078,0,0,3.052,2.293
Limestone,2018,Toona,T1,17,277,3,0.106,0,0,3.034,2.349
Limestone,2018,Toona,T1,18,289,1,0.087,0,0,2.573,2.349
Limestone,2018,Toona,T1,18,289,2,0.114,0,0,2.6,2.336
Limestone,2018,Toona,T1,18,289,3,0.108,0,0,2.673,2.292
Limestone,2018,Toona,T1,19,305,1,0.075,0,0,8.513,NA
Limestone,2018,Toona,T1,19,305,2,0.096,0,0,8.558,NA
Limestone,2018,Toona,T1,19,305,3,0.104,0,0,8.613,NA
Limestone,2018,Toona,T1,20,318,1,0.081,0,0,7.414,NA
Limestone,2018,Toona,T1,20,318,2,0.079,0,0,7.457,NA
Limestone,2018,Toona,T1,20,318,3,0.096,0,0,7.478,NA
Limestone,2018,Toona,T1,21,346,1,0.083,0.077,0,10.749,3.29
Limestone,2018,Toona,T1,21,346,2,0.061,0.048,0,10.836,3.21
Limestone,2018,Toona,T1,21,346,3,0.095,0.05,0,10.817,3.212
Limestone,2018,Toona,T1,22,362,1,0.071,0.084,0,3.888,4.749
Limestone,2018,Toona,T1,22,362,2,0.067,0.072,0,3.829,4.757
Limestone,2018,Toona,T1,22,362,3,0.062,0.088,0,4.057,4.87
