Latinname,Chinese_name,Phenology,SLA,Nm,Pm,Na,Pa,gs,Aa,Am,LT
Bauhinia_variegate,°×»¨ÑòÌã¼×,1,204.6,36.6,2.5,1.788856305,0.122189638,0.194,9.0815,185.80749,135.4
Cipadessa_baccifera,½¬¹ûé¬,1,199,28,2,1.407035176,0.100502513,0.2985,14.675,292.00315,150.9
Croton_yanhuii ,¼¦¹ÇÏã,1,228.8,41.1,2.91,1.796328671,0.127185315,0.3216,12.9288,295.810944,149
Ficus_pisocarpa,¶¹¹ûéÅ,1,127.7,19.1,1.5,1.495693031,0.117462803,0.3203,16.2081,206.977437,255.7
Lagerstroemia_tomentosa,Ã«×ÏÞ±,1,160.3,26.2,2.3,1.634435434,0.143480973,0.1814,8.2314,131.9822676,134.5
Melia_azedarach,¿àé¬,1,226,38.6,2.9,1.707964602,0.128318584,0.618333333,22.875,516.975,136.6
Millettia_cubittii,ÄÏÑÇÑÒ¶¹Ê÷,1,313.9,34.6,2,1.102261867,0.063714559,0.172,8.7337,274.1159082,114.9
Neolamarckia_cadamba,ÍÅ»¨,1,91.7,25.4,1.9,2.769901854,0.207197383,0.441222222,17.25833333,158.2589167,216.7
Spondias_pinnata,éÄÀÆÇà,1,144,18.8,1.7,1.305555556,0.118055556,0.159888889,7.286666667,104.928,197.9
Mayodendron_igneum ,»ðÉÕ»¨,1,160,26.6,1.5,1.6625,0.09375,0.235466667,13.47333333,215.5733333,198.1
Pometia_pinnata ,·¬ÁúÑÛ,1,181.5,23.2,1.7,1.278236915,0.093663912,0.210453333,9.823833333,178.302575,96.5
Alphonsea_mollis ,Ê¯ÃÜ,2,161.3,24.7,1.5,1.531308122,0.09299442,0.1153,9.1333,147.2835958,181.4
Celtis_philippensis,ÓÍÆÓ,2,58.1,22.2,1.1,3.820998279,0.189328744,0.1574,10.19,59.2143957,308.2
Cleistanthus_sumatranus,±Õ»¨Ä¾ ,2,153,21.1,1.6,1.379084967,0.104575163,0.1397,10.0311,153.4357056,139
Ficus_stricta,¾¢Ö±éÅ,2,127.2,18.8,1.4,1.477987421,0.110062893,0.12035,7.665,97.4988,237.5
Garcinia_xanthochymus,´óÒ¶ÌÙ»Æ ,2,87.4,14.5,1,1.659038902,0.114416476,0.127666667,9.014444444,78.78624444,509.2
Lasiococca_comberi,Å£Àß°Í,2,127.6,21.2,1.9,1.661442006,0.148902821,0.1331,10.0833,128.662908,137.6
Mitrephora_tomentosa,Òø¹³»¨,2,159,29.4,1.6,1.849056604,0.100628931,0.144438095,6.925595238,110.1169643,170
Phoebe_lanceolata,ÅûÕëÒ¶éª,2,151,20.1,1.4,1.331125828,0.092715232,0.132739583,9.4309375,142.4071563,112.9
Pistacia_weinmannifolia,ÇåÏãÄ¾,2,85.2,17.5,1.1,2.05399061,0.129107981,0.2714,13.3465,113.6619972,183.4
Turpinia_pomifera,´ó¹ûÉ½ÏãÔ²,2,142.2,16.6,1.1,1.167369902,0.077355837,0.1785,9.9153,140.9559048,177.4
