Index,Gender,Shoe_Size,Height
9,F,12.7,152.4
1,F,13.97,152.4
2,F,15.24,152.4
10,F,15.24,154.94
11,F,15.24,154.94
20,F,15.24,157.48
21,F,15.24,157.48
22,F,15.24,157.48
23,F,15.24,157.48
33,F,15.24,160.02
34,F,15.24,160.02
35,F,15.24,160.02
36,F,15.24,160.02
48,F,15.24,160.02
51,F,15.24,162.56
52,F,15.24,162.56
8,F,16.51,152.4
12,F,16.51,154.94
18,F,16.51,154.94
24,F,16.51,157.48
37,F,16.51,160.02
53,F,16.51,162.56
80,F,16.51,165.1
3,F,17.78,152.4
13,F,17.78,154.94
14,F,17.78,154.94
25,F,17.78,157.48
26,F,17.78,157.48
38,F,17.78,160.02
39,F,17.78,160.02
40,F,17.78,160.02
50,F,17.78,160.02
54,F,17.78,162.56
55,F,17.78,162.56
56,F,17.78,162.56
57,F,17.78,162.56
58,F,17.78,162.56
59,F,17.78,162.56
60,F,17.78,162.56
61,F,17.78,162.56
62,F,17.78,162.56
81,F,17.78,165.1
82,F,17.78,165.1
126,M,17.78,170.18
127,M,17.78,170.18
7,M,19.05,152.4
15,M,19.05,154.94
19,M,19.05,154.94
27,M,19.05,157.48
28,M,19.05,157.48
29,M,19.05,157.48
30,M,19.05,157.48
32,M,19.05,157.48
41,M,19.05,160.02
42,M,19.05,160.02
63,M,19.05,162.56
64,M,19.05,162.56
65,M,19.05,162.56
66,M,19.05,162.56
83,M,19.05,165.1
84,M,19.05,165.1
85,M,19.05,165.1
86,M,19.05,165.1
87,M,19.05,165.1
88,M,19.05,165.1
208,F,17.78,170.9928
190,F,19.05,162.56
191,F,20.32,162.56
209,F,20.32,172.72
194,F,21.59,165.1
189,F,22.86,160.02
195,F,22.86,165.1
198,F,22.86,167.64
205,F,22.86,167.64
210,F,22.86,172.72
211,F,22.86,172.72
212,F,22.86,172.72
226,F,22.86,172.72
227,F,22.86,175.26
228,F,22.86,175.26
252,F,22.86,177.8
253,F,22.86,177.8
196,F,24.13,165.1
199,F,24.13,167.64
200,F,24.13,167.64
213,F,24.13,172.72
229,F,24.13,175.26
230,M,24.13,175.26
254,M,24.13,177.8
255,M,24.13,177.8
365,M,24.13,187.96
366,M,24.13,187.96
192,M,25.4,162.56
193,M,25.4,162.56
204,M,25.4,167.64
206,M,25.4,170.18
214,M,25.4,172.72
215,M,25.4,172.72
216,M,25.4,172.72
217,M,25.4,172.72
218,M,25.4,172.72
225,M,25.4,172.72
231,M,25.4,175.26
232,M,25.4,175.26
233,M,25.4,175.26
256,M,25.4,177.8
257,M,25.4,177.8
258,M,25.4,177.8
259,M,25.4,177.8
260,M,25.4,177.8
261,M,25.4,177.8
262,M,25.4,177.8
311,M,25.4,182.88
312,M,25.4,182.88
